composer,intervallic_entropy,melodic_entropy, average_nPVI, meter,date,rhythm_entropy
Beethoven,2.82218,2.42484,39.8291,3/4 ,1798,1.78845
Beethoven,2.95021,2.69951,40,2/4 ,1798,0.918296
Beethoven,3.34237,2.83731,65.3333,3/4 ,1798,1.5
Beethoven,2.41938,2.52494,61.8519,3/4 ,1798,1.68939
Beethoven,2.47722,2.72722,41.0582,2/4 ,1798,1.82307
Beethoven,2.08299,2.56161,41.8674,2/4 ,1798,1.96939
Beethoven,2.65226,2.69683,35.4684,2/2 ,1798,0.721928
Beethoven,2.54053,2.73142,15.6863,2/4 ,1798,1.13497
Beethoven,2.45021,2.61863,36.8627,3/4 ,1798,1.19176
Bach,2.50415,2.89185,18.75,3/8 ,1735,0.834347
Beethoven,2.10132,3.16307,3.33333,6/8 ,1798,0.276195
Beethoven,2.61265,2.94946,66.6667,6/8 ,1798,0.997503
Beethoven,2.68628,2.43628,51.7591,4/4 ,1798,1.98777
Beethoven,2.61575,2.5902,62.6901,4/4 ,1798,1.97095
Beethoven,2.58402,2.71521,8.88889,3/8 ,1798,1
Beethoven,2.2107,2.94928,17.5439,3/8 ,1798,1.18838
Beethoven,2.61058,2.75343,73.6111,3/4 ,1798,1.68548
Beethoven,2.77094,2.98523,7.24638,2/2 ,1798,0.888687
Beethoven,2.35222,2.78064,30.6667,2/2 ,1798,1.04085
Beethoven,2.74894,2.91099,52.1212,6/8 ,1798,1.19818
Bach,2.78443,2.43491,54.8251,6/8 ,1770,1.14012
Bach,3.42733,2.85115,26.6667,4/4 ,1735,1.02146
Beethoven,2.71521,3.02304,69.1667,6/8 ,1798,1.40208
Beethoven,2.51006,2.54979,34.127,3/4 ,1798,1.52623
Beethoven,2.16321,2.68953,33.3333,2/4 ,1798,0.749595
Beethoven,2.56262,2.81214,17.3913,2/2 ,1798,0.391244
Beethoven,2.61479,2.63521,24.4156,2/2 ,1798,1.5656
Beethoven,3.01789,2.47125,58.0627,2/2 ,1798,1.81295
Beethoven,2.70869,2.28418,105.357,2/2 ,1798,2.22722
Beethoven,2.53435,2.72413,5.45455,2/4 ,1798,0.666578
Beethoven,2.24229,2.56322,23.5294,3/4 ,1798,0.453716
Beethoven,2.35455,2.60481,72.2222,2/4 ,1798,2.46772
Beethoven,2.46272,2.83009,0,3/8 ,1798,0
Bach,3.03915,2.95021,66.6667,12/8 ,1735,0.995727
Beethoven,2.13535,2.67034,33.0403,4/4 ,1805,1.59167
Beethoven,2.8245,2.88888,18.0451,3/8 ,1805,0.568996
Beethoven,3.12075,3.00097,52.2562,2/4 ,1805,2.04181
Beethoven,2.30719,2.86659,43.3333,2/4 ,1805,1.52623
Beethoven,3.00624,2.92323,44.8854,6/8 ,1805,1.62581
Beethoven,2.55504,2.7744,38.9771,4/4 ,1805,1.61719
Beethoven,2.56545,2.7275,84.8739,4/4 ,1805,2.45915
Beethoven,2.91044,3.00568,68.3333,3/4 ,1805,0.811278
Beethoven,2.65831,2.56476,28.5714,3/4 ,1805,0.49715
Beethoven,2.20915,2.86749,47.395,2/2 ,1805,1.02193
Bach,3.01219,2.75436,35.5813,2/4 ,1735,1.42696
Beethoven,2.90036,3.08267,52.9825,4/4 ,1805,1.12386
Beethoven,2.74771,3.08605,25.4902,6/8 ,1805,0.722858
Beethoven,2.36236,3.00568,54.4682,3/4 ,1805,2.28064
Beethoven,2.46587,2.83389,20.5128,2/2 ,1805,0.560825
Beethoven,2.59958,2.46625,90.7029,2/2 ,1809,2.24644
Beethoven,3.15727,2.90727,62.3016,4/4 ,1809,1.6158
Beethoven,2.52164,2.12095,49.6296,3/8 ,1809,1.84644
Beethoven,2.65505,2.14928,33.3333,3/4 ,1809,1.33827
Beethoven,2.61006,3.01057,82.9437,2/4 ,1809,1.53012
Beethoven,1.73815,3.02699,13.3333,4/4 ,1810,1.32218
Bach,3.01219,2.72647,44.1558,4/4 ,1735,1.54659
Beethoven,2.67341,2.69701,45.4167,2/4 ,1810,1.61138
Beethoven,2.55034,2.84081,27.451,2/4 ,1810,1.25163
Beethoven,2.35123,3.03832,98.9796,3/4 ,1810,1.57839
Beethoven,3.19327,3.10928,74.3553,2/4 ,1810,1.77633
Beethoven,2.55468,2.81838,18.5185,6/8 ,1810,0.629249
Beethoven,2.82782,2.78064,18.1818,3/4 ,1823,1.28067
Beethoven,2.47722,2.72722,36,3/4 ,1823,1.67674
Beethoven,2.37209,2.89817,66.6667,12/8 ,1823,1.21924
Beethoven,2.93456,3.03832,101.587,3/4 ,1823,1.97724
Beethoven,2.99663,2.90533,25.098,2/2 ,1823,1.39215
Bach,2.55218,2.75272,27.7778,3/8 ,1735,1.19812
Beethoven,2.43805,2.64208,34.0741,2/2 ,1823,0.953014
Beethoven,2.84644,2.98418,31.7949,3/4 ,1825,1.29879
Beethoven,3.14559,3.0297,36.4983,4/4 ,1825,1.73639
Beethoven,2.62278,2.62468,55.8242,2/2 ,1825,0.964079
Beethoven,2.48418,2.92821,47.746,4/4 ,1825,1.80776
Beethoven,2.93395,2.93395,41.7989,3/8 ,1825,1.62581
Beethoven,2.4847,2.13505,33.8889,3/8 ,1825,1.37878
Beethoven,2.8523,2.77729,57.605,3/4 ,1825,2.18901
Beethoven,2.72888,2.79031,25.9259,2/4 ,1825,1.2345
Beethoven,2.32428,2.53661,24.8485,2/2 ,1826,1.18872
Bach,2.76067,2.83256,38.0952,2/4 ,1735,1.40208
Beethoven,2.80869,2.50869,55.9524,6/8 ,1826,1.40564
Beethoven,,,79.3337,4/4 ,1826,2.59958
Beethoven,2.72234,3.14203,63.4921,2/4 ,1826,1.53948
Beethoven,2.90252,2.77237,24.127,2/2 ,1826,0.738285
Beethoven,2.55504,2.6494,14.8148,2/2 ,1826,0.99403
Beethoven,2.5244,2.5,63.8292,3/4 ,1826,1.78067
Beethoven,2.45302,2.80721,93.4799,2/2 ,1826,0.985228
Beethoven,2.40564,2.82782,34.0741,2/2 ,1826,1.04085
Beethoven,3.00972,3.02418,75.0433,2/2 4/4 ,1825,1.99524
Beethoven,2.38627,2.72013,61.634,4/4 ,1825,1.82887
Beethoven,3.04584,3.43046,18.0392,3/4 ,1825,1.02146
Bach,2.96731,2.39876,38.8406,4/4 ,1735,1.45915
Beethoven,2.04879,2.20282,24.2424,3/4 ,1825,1.04085
Beethoven,2.55415,2.52628,14.2857,4/4 ,1825,1
Beethoven,2.96933,2.76099,110.667,4/4 ,1825,1.95508
Beethoven,2.71533,2.49954,43.0769,3/4 ,1825,1.84237
Beethoven,2.58391,2.82289,24.2424,4/4 ,1825,0.825627
Beethoven,2.60724,2.60019,98.2456,4/4 ,1825,0.929364
Beethoven,3.17767,2.8314,77.1504,2/4 ,1826,2.23752
Beethoven,,,16.6667,2/4 ,1826,1.3433
Beethoven,2.65656,2.78108,48.8889,3/4 ,1826,0
Beethoven,1.69225,2.76334,13.3333,6/8 ,1826,0.548954
Beethoven,2.88551,2.99662,90.9921,3/2 2/2 ,1826,1.5511
Beethoven,2.24708,2.61006,22.2222,2/2 ,1826,0.591673
Beethoven,2.81104,2.40665,98.0117,4/4 ,1796,1.81924
Beethoven,2.29632,2.89185,38.5119,3/4 ,1796,1.92541
Beethoven,2.22752,2.80196,45.3061,2/4 ,1796,1.64242
Beethoven,2.70282,2.35222,61.2121,6/8 ,1796,1.48336
Beethoven,2.62473,3.04163,44.127,2/2 ,1810,1.82103
Beethoven,3.12075,3.08359,71.7902,2/2 ,1798,1.92322
Bach,2.5869,2.88982,0,9/8 ,1735,0
Beethoven,2.68872,2.28416,46.3845,4/4 ,1797,2.04644
Beethoven,2.73576,2.6488,40.8889,2/4 ,1802,1.39215
Beethoven,2.42484,2.58689,61.4719,4/4 ,1799,0.946373
Beethoven,3.01688,2.68354,24.6154,4/4 ,1799,1.57741
Beethoven,2.37456,2.14514,68.3405,9/8 ,1799,1.95021
Beethoven,2.8152,2.8152,115.087,3/4 ,1799,1.87267
Beethoven,2.25772,2.87095,8.88889,2/4 ,1799,0.33729
Beethoven,2.94928,2.49947,50,3/4 ,1799,0.834347
Beethoven,3.02864,2.53661,83.2507,2/4 ,1799,1.72725
Beethoven,2.8927,2.39228,39.0476,2/2 ,1799,0.981941
Beethoven,3.32782,2.57782,90.5556,4/4 ,1797,1.86312
Beethoven,2.62859,3.06856,28.2993,3/4 ,1797,1.36129
Beethoven,3.18537,2.98253,19.7101,3/4 ,1797,0.918296
Beethoven,2.33318,2.93988,65.8405,2/4 ,1797,2.30869
Beethoven,2.57467,2.67946,9.87654,2/4 ,1797,0.362051
Beethoven,2.71125,3.09269,47.1088,3/4 ,1797,2.05508
Beethoven,2.54053,2.8927,37.4074,2/4 ,1797,1.57798
Beethoven,2.14926,2.60624,98.9927,4/4 ,1796,2.58496
Bach,2.80284,2.64034,13.3333,4/4 ,1735,0.998364
Beethoven,2.35222,2.82782,23.0303,3/4 ,1796,1.04085
Beethoven,2.80827,2.80402,35.1111,2/4 ,1796,1.81636
Beethoven,2.70324,2.86991,32.0833,2/2 ,1807,1.73604
Beethoven,2.52562,2.74215,40.4762,3/4 ,1807,0.63431
Beethoven,2.30827,2.16993,34.8148,3/4 ,1807,1.48548
Beethoven,2.26615,3.02206,16.2907,2/2 ,1807,1.0763
Beethoven,2.59179,2.86383,18.0952,6/8 ,1807,1.27291
Beethoven,2.5281,2.90849,100.786,2/2 ,1807,1.76765
Beethoven,2.54644,2.63321,39.7024,6/8 ,1807,1.96887
Beethoven,2.68603,2.83366,7.99562,2/4 ,1807,1.6631
Beethoven,3.3018,2.70044,39.0142,4/4 ,1800,1.80859
Beethoven,2.35275,2.27094,79.6825,2/4 ,1800,1.78416
Beethoven,2.84145,2.90869,24.8889,2/2 ,1800,1.47722
Beethoven,2.84237,2.61058,41.0242,2/2 ,1793,1.24067
Bach,2.18742,2.88327,29.5455,12/8 ,1735,0.621904
Beethoven,2.82193,2.72193,27.5556,2/2 ,1793,1.06128
Beethoven,2.94964,3.0297,30.3333,3/4 ,1793,1.59436
Beethoven,2.60846,2.65564,13.3333,3/4 ,1793,0
Beethoven,2.2338,2.73291,2.77778,3/4 ,1793,0.242292
Beethoven,2.70363,2.62955,37.5,2/2 ,1793,0.276195
Beethoven,2.81996,2.59353,26.1538,2/2 ,1793,1.23664
Beethoven,3.00618,3.02152,57.1795,2/4 ,1794,1.56903
Beethoven,2.65564,2.35222,46.5994,2/4 ,1794,2.05459
Beethoven,2.49411,2.60412,47.3016,3/4 ,1794,1.84546
Beethoven,3.51327,2.3183,41.2346,3/4 ,1794,0.985228
Bach,2.89629,2.35275,43.0303,4/4 ,1770,1.95083
Bach,2.82072,2.87382,18.1818,2/4 ,1735,1.20883
Beethoven,2.26761,3.00695,0,3/4 ,1794,0
Beethoven,3.16639,2.82387,37.7016,4/4 ,1794,2.40435
Beethoven,2.33695,3.60602,6.06061,4/4 ,1794,0
Beethoven,2.35341,2.57883,48.1046,4/4 ,1794,1.92193
Beethoven,2.38286,2.78064,15.5556,4/4 ,1794,0.773228
Beethoven,3.09826,2.69382,20.9524,4/4 ,1794,1.0958
Beethoven,2.47291,2.73957,73.8047,2/4 ,1794,1.9183
Beethoven,1.92229,2.82347,16.6667,3/4 ,1794,1.3831
Beethoven,2.1683,3.07393,23.5294,6/8 ,1794,0.721928
Beethoven,2.83374,2.80678,9.4697,6/8 ,1796,1.28002
Bach,2.96347,2.79238,30.4679,4/4 ,1735,1.20752
Beethoven,2.64052,2.86119,0,6/8 ,1796,1.10331
Beethoven,2.73787,2.79447,98.0231,3/4 ,1796,2.01328
Beethoven,2.86941,2.90412,38.0952,3/4 ,1796,1.12386
Beethoven,2.91023,3.0297,27.619,2/4 ,1796,1.04344
Beethoven,3.34145,2.42322,94.7222,3/4 ,1795,2.04195
Beethoven,2.70268,2.64229,77.037,3/4 ,1795,1.75
Beethoven,2.56545,2.4116,88.6905,2/4 ,1795,2.28104
Beethoven,2.99519,2.86616,25,2/2 ,1795,0.605187
Beethoven,2.20915,3.05351,25.7703,2/2 ,1795,1.29546
Beethoven,2.68418,2.64644,85.4519,2/4 ,1796,1.56128
Bach,2.6527,2.86818,33.6111,6/8 ,1735,1.35441
Beethoven,2.99286,2.77672,13.3333,3/4 ,1796,0.543564
Beethoven,1.86185,1.84488,74.7619,3/4 ,1796,1.83226
Beethoven,2.76334,2.51694,10,2/4 ,1796,0.958712
Beethoven,2.3719,2.82189,0,2/2 ,1796,0
Beethoven,2.84145,2.73321,33.7778,2/2 ,1796,1.5
Beethoven,2.53151,2.54928,10,6/8 ,1796,0.453716
Beethoven,2.43899,2.73158,31.6667,3/4 ,1796,0.485461
Beethoven,3.05743,3.06075,39.5238,4/4 ,1796,1.27365
Beethoven,2.54979,2.97084,97.8203,4/4 ,1797,2
Beethoven,2.58255,2.90136,18.75,2/2 ,1797,1.16609
Bach,2.61038,2.88124,17.4713,4/4 ,1735,0.981591
Beethoven,3.1037,2.6037,44.2177,4/4 ,1797,1.10331
Beethoven,2.72722,2.72722,40.6667,2/4 ,1797,1.43537
Beethoven,2.94145,2.76096,25,2/4 ,1797,0.56651
Beethoven,2.47327,2.70928,40.3333,2/2 ,1797,1.41121
Beethoven,2.29242,2.96772,11.9048,2/2 ,1797,0.785235
Beethoven,2.6645,2.09307,34.0741,2/2 ,1797,1.37095
Beethoven,2.8994,2.60222,36.3316,4/4 ,1798,1.68582
Beethoven,2.32821,3.08418,22.8571,4/4 ,1798,1.29879
Beethoven,2.41376,2.59076,48.4444,3/4 ,1798,1.76765
Beethoven,2.77778,2.66013,37.037,3/4 ,1798,0.684038
Bach,3.09826,3.23195,16.3561,4/4 ,1735,1.04344
Beethoven,2.16993,2.36957,31.2821,2/2 ,1798,1.29169
Beethoven,2.66799,3.34074,29.1667,2/4 ,1799,0.63431
Beethoven,2.78064,2.78064,21.9913,4/4 ,1799,0.877387
Beethoven,2.39954,3.15557,49.2308,3/8 ,1799,1.27291
Beethoven,2.64303,2.97207,42.0106,3/8 ,1799,2.0899
Beethoven,2.95131,2.93983,26.7692,4/4 ,1800,1.57152
Beethoven,2.64979,1.84742,15.3846,4/4 ,1800,0.591673
Beethoven,2.85539,2.85539,52.5,4/4 ,1800,0.881291
Beethoven,2.51615,3.07393,48.6996,9/8 ,1800,1.92423
Beethoven,2.35988,3.09399,64.3434,3/4 ,1800,1.92769
Bach,2.43913,2.91085,49.1228,12/8 ,1735,1.37086
Beethoven,2.53723,3.38327,12.4242,2/4 ,1800,0.918296
Beethoven,2.77424,2.80004,62.6757,3/8 ,1800,2.10559
Beethoven,2.36491,2.97711,69.3333,3/4 ,1800,1.61352
Beethoven,2.62928,2.59508,66.6667,3/4 ,1800,0.977418
Beethoven,1.04085,0.650022,101.978,4/4 ,1800,1.72193
Beethoven,2.74139,3.35583,0,2/4 ,1800,0
Beethoven,2.71007,2.24708,58.8889,2/2 ,1800,1.28705
Beethoven,3.20869,2.28548,7.84314,6/8 ,1800,0.944489
Beethoven,2.49354,2.45759,0,3/4 ,1800,0
Beethoven,2.31556,2.00996,36.9697,3/4 ,1800,0
Bach,2.86576,2.99917,11.8841,3/4 ,1735,0.721928
Beethoven,2.45955,3.02788,47.3171,3/4 ,1800,2.1734
Beethoven,2.40229,3.04888,25.3333,2/4 ,1800,1.24671
Beethoven,2.10391,1.85429,0,2/2 ,1801,0
Beethoven,2.46625,2.06346,71.1453,2/2 ,1801,2.23127
Beethoven,2.45765,2.95731,62.2222,3/4 ,1801,0.453716
Beethoven,3.01219,2.66899,24.1026,3/4 ,1801,0.721928
Beethoven,2.93199,2.01811,2.29885,4/4 ,1801,0.353359
Beethoven,3.03379,2.45722,75.1541,4/4 ,1801,2.46596
Beethoven,2.35676,2.77586,70.8148,3/4 ,1801,1.95425
Beethoven,2.0632,2.45845,30,3/4 ,1801,1.67674
Bach,2.34237,3.03969,12.1212,3/8 ,1735,0.932112
Beethoven,2.9357,2.52107,37.2222,3/4 ,1801,0.721928
Beethoven,2.67034,2.37374,31.8254,2/4 ,1801,1.42991
Beethoven,3.43046,3.1049,38.7044,2/4 ,1801,1.68512
Beethoven,2.84686,2.77543,62.585,3/4 ,1801,1.50903
Beethoven,2.15597,2.40667,63.6905,3/4 ,1801,1.83659
Beethoven,3.03064,3.07782,18.5185,6/8 ,1801,0
Beethoven,3.0365,2.9766,30.7024,2/4 ,1802,1.79257
Beethoven,2.86974,2.7745,32.381,2/4 ,1802,1.50524
Beethoven,2.5026,3.11583,62.996,9/8 ,1802,1.79879
Beethoven,2.52186,2.87685,21.4815,2/2 ,1802,1.37796
Bach,2.77198,2.94244,45.2778,6/8 ,1735,1.39921
Beethoven,2.79516,2.82992,14.7392,2/2 ,1802,0.956766
Beethoven,2.90498,3.03858,19.4444,2/2 ,1802,0.503258
Beethoven,2.46625,2.59958,102.31,3/4 ,1802,1.92193
Beethoven,3.02945,2.92552,124.913,3/4 ,1802,2.39428
Beethoven,2.85539,2.58496,46.6667,3/8 ,1802,0.721928
Beethoven,1.71162,2.26571,11.7647,3/8 ,1802,0.297472
Beethoven,2.71927,2.49731,59.6156,3/4 ,1802,2.04903
Beethoven,2.66731,3.33768,76.9841,3/4 ,1802,1.32578
Beethoven,2.52164,2.6645,48.2143,2/4 ,1802,1.57095
Beethoven,2.61437,2.59412,74.8563,3/4 ,1802,2.46772
Bach,2.36957,2.44107,32.2222,2/4 ,1735,1.44882
Beethoven,2.85828,2.6416,49.4444,3/4 ,1802,2.07416
Beethoven,2.82193,2.72193,84.8485,6/8 ,1802,1
Beethoven,2.28456,2.11731,61.9048,6/8 ,1802,0
Beethoven,2.94815,2.87233,24,2/4 ,1797,0.453716
Beethoven,2.79479,2.44452,29.5238,2/4 ,1797,1.10331
Beethoven,2.71811,2.94786,5.33333,6/8 ,1797,0.391244
Beethoven,2.46068,2.99566,33.913,6/8 ,1797,0.619382
Beethoven,2.91818,2.81222,48.689,2/2 ,1795,2.22519
Beethoven,2.95006,2.80962,29.8246,2/2 ,1795,0.99403
Beethoven,2.76596,2.76596,84.8041,3/4 ,1795,2.18628
Bach,2.76096,3.00869,37.9819,3/4 ,1770,1.93628
Bach,2.29865,2.97196,25.5072,4/4 ,1735,1.17528
Beethoven,2.46708,2.83013,35.7206,4/4 ,1803,1.43288
Beethoven,1.68948,2.41592,29.6296,4/4 ,1803,0.970951
Beethoven,2.75617,2.99519,95.7104,6/8 ,1803,1.54659
Beethoven,2.85539,2.37581,47.1795,2/4 ,1803,1.36631
Beethoven,3.0503,2.61006,120.707,3/4 ,1804,1.90861
Beethoven,1.70317,3.20624,0,3/4 ,1804,0
Beethoven,3.24053,2.85554,8.82353,2/4 ,1804,0.590724
Beethoven,2.88684,2.38776,93.3231,12/8 ,1804,2.18293
Beethoven,2.73957,2.52323,103.511,12/8 ,1804,1.77586
Beethoven,2.16171,1.90268,0,12/8 ,1804,0
Bach,2.46132,1.90278,16.6667,4/4 ,1735,0.887307
Beethoven,2.33333,2.18293,47.1795,2/4 ,1804,1.67291
Beethoven,2.65505,2.86558,0,2/4 ,1804,0
Beethoven,2.43341,2.48322,7.05882,2/4 ,1804,0.503258
Beethoven,2.54453,2.90531,30,4/4 ,1809,1.03892
Beethoven,2.58402,2.61997,5.55597,4/4 ,1809,0.297472
Beethoven,2.3899,2.97356,71.6667,2/4 ,1809,1.67293
Beethoven,2.39215,2.70523,19.4872,3/4 ,1809,1.26381
Beethoven,2.66123,2.44931,67.4074,9/8 ,1809,1.52193
Beethoven,2.625,2.5244,10.2564,9/8 ,1809,0.371232
Beethoven,2.21869,2.80489,51.2281,2/4 ,1809,1.29546
Bach,2.84644,2.40869,25,6/8 ,1735,1.22105
Beethoven,2.75272,2.933,82.0513,2/4 ,1809,2.64559
Beethoven,2.97629,2.86309,37.2619,2/2 ,1809,1.49693
Beethoven,2.92745,2.44107,20.9524,2/2 ,1809,0.619382
Beethoven,2.75591,2.66067,102.189,2/4 ,1809,2.44192
Beethoven,2.60904,3.05231,0,6/8 ,1809,0
Beethoven,2.57243,2.57243,68.1481,3/4 ,1814,1.61058
Beethoven,2.49734,2.58426,23.5897,2/4 ,1814,1.29169
Beethoven,2.32789,2.86309,57.7778,6/8 ,1816,0.977418
Beethoven,3.24987,3.15148,101.693,4/4 ,1816,1.83056
Beethoven,2.93906,2.98334,47.0834,2/4 ,1816,2.0717
Bach,2.76067,2.83256,38.0952,2/4 ,1717,1.40208
Beethoven,3.09003,3.01057,72.8139,2/4 ,1816,1.45656
Beethoven,3.36852,2.55605,67.9365,4/4 ,1817,1.3821
Beethoven,2.16606,2.61749,47.7193,2/2 ,1817,1.41664
Beethoven,2.41151,2.59179,32.8571,2/2 ,1817,1.49111
Beethoven,2.75271,2.73644,64.381,3/4 ,1817,1.92193
Beethoven,2.82821,2.82821,36.1905,6/8 ,1817,1.37095
Beethoven,2.99286,2.8065,32.963,6/8 ,1817,1.42879
Beethoven,2.21536,3.12064,21.164,3/4 ,1817,0.699843
Beethoven,2.52274,2.5275,22.2222,3/4 ,1817,0.946373
Beethoven,,,100.376,2/4 ,1820,1.59167
Bach,2.96731,2.39876,38.8406,4/4 ,1717,1.45915
Beethoven,3.0037,2.6037,66.0606,6/8 ,1820,1.37095
Beethoven,2.6494,2.60222,54.6667,3/4 ,1820,1.68582
Beethoven,2.91044,2.75591,60.9524,3/4 ,1821,2.58101
Beethoven,2.54926,2.3656,56.5079,3/4 ,1821,1.92193
Beethoven,2.4847,2.55468,15.3846,2/4 ,1821,0.591673
Beethoven,2.60161,2.88418,50.6061,12/16 ,1821,1.48366
Beethoven,2.4116,2.62352,25.8333,6/8 ,1821,0.986427
Beethoven,3.20899,2.84535,105.14,4/4 ,1821,2.35981
Beethoven,2.32208,3.05881,27.7454,4/4 ,1821,2.10846
Beethoven,2.86991,2.43872,34.4538,9/16 ,1821,1.44662
Bach,2.55792,2.87265,0,9/8 ,1717,0
Beethoven,2.54749,2.30373,99.0476,4/4 ,1797,1.69825
Beethoven,2.8037,2.7037,31.6327,2/4 ,1797,1.23664
Beethoven,2.90195,2.74241,37.3333,6/8 ,1797,1.05294
Beethoven,2.52912,2.74847,71.7949,6/8 ,1797,0.258019
Beethoven,2.00663,2.70366,55.5556,6/8 ,1797,1.2789
Beethoven,2.58583,2.954,94.4671,2/4 ,1797,2.63129
Beethoven,2.75506,2.64979,79.5833,3/4 ,1797,0.73453
Beethoven,2.59412,2.30827,35.0048,4/4 ,1797,1.62661
Beethoven,2.83292,3.0706,44.4306,4/4 ,1797,1.86479
Beethoven,3.2433,2.58847,94.8553,3/4 ,1797,2.00217
Bach,2.80113,2.71382,24.2857,2/2 ,1717,1.24846
Beethoven,2.90005,2.26627,28.5714,2/4 ,1797,1.10331
Beethoven,2.90311,2.95269,65.8817,6/8 ,1800,1.6645
Beethoven,2.2543,2.66712,71.5556,2/4 ,1800,0
Beethoven,2.48917,3.03589,9.12698,2/2 ,1800,0.845106
Beethoven,2.05584,3.11754,33.181,4/4 ,1800,1.70435
Beethoven,2.69448,2.46515,64.2261,3/4 ,1800,2.25445
Beethoven,2.21469,2.51508,72.6667,3/4 ,1800,1.49419
Beethoven,2.42662,2.77736,20.9524,4/4 ,1800,1.0958
Beethoven,2.85456,2.77107,42.9932,3/4 ,1801,1.59933
Beethoven,2.19908,2.93456,55.5026,3/4 ,1801,1.82482
Bach,2.5843,2.5902,16.6667,3/4 ,1717,0.918296
Beethoven,2.23489,2.56811,62.9048,2/4 ,1801,2.36852
Beethoven,2.90614,2.76875,39.7199,2/2 ,1801,1.84644
Beethoven,2.9138,3.08362,60.383,4/4 ,1801,2.17013
Beethoven,2.64771,2.65381,87.6644,4/4 ,1801,2.13606
Beethoven,2.81594,3.06577,35.8442,4/4 ,1801,2.01623
Beethoven,2.64125,2.65709,59.1667,3/4 ,1801,2.07818
Beethoven,2.45184,2.69753,26.0606,3/4 ,1801,1.32578
Beethoven,3.00926,2.64446,48.75,2/2 ,1801,1.6122
Beethoven,2.45161,2.54685,3.92157,6/8 ,1801,0.918296
Beethoven,2.94504,2.80004,95.7343,3/4 ,1801,2.15591
Bach,2.49302,2.86309,18.75,3/8 ,1717,0.834347
Beethoven,2.62581,2.53416,18.5185,2/4 ,1801,1.14115
Beethoven,3,2.875,20.6667,3/4 ,1802,1.18872
Beethoven,3.00347,2.72412,13.9429,2/2 ,1802,0.773228
Beethoven,2.78556,2.94761,36.8,2/4 ,1802,1.54224
Beethoven,2.35561,1.80476,69.7778,6/8 ,1802,1.50524
Beethoven,2.27043,2.5902,75.6303,6/8 ,1802,1.25163
Beethoven,2.28448,2.45161,16.6667,2/4 ,1802,1.52623
Beethoven,2.77219,2.65899,29.8039,3/4 ,1815,0.944489
Beethoven,2.63792,3.08604,106.123,3/4 ,1815,1.63825
Beethoven,2.58426,2.78086,15.3846,2/4 ,1815,0.591673
Bach,3.09826,3.23195,16.3561,2/2 ,1717,1.04344
Beethoven,2.39631,2.5275,14.8148,3/4 ,1815,0.873981
Beethoven,2.87685,2.6986,33.7778,2/4 ,1815,1.39215
Beethoven,3.11354,3.17013,17.2222,4/4 ,1800,1.65898
Beethoven,2.37225,2.49204,54.3711,4/4 ,1800,1.53279
Beethoven,2.53869,2.13469,47.9202,2/2 ,1800,2.24793
Beethoven,2.34274,2.66596,73.4066,2/2 ,1800,1.45656
Beethoven,2.8693,2.85528,63.6905,2/2 ,1800,0.963746
Beethoven,1.8562,2.19956,37.1014,2/2 ,1800,1.25163
Beethoven,2.56755,2.68434,31.2018,3/8 ,1800,1.36852
Beethoven,2.95313,2.93003,59.1736,3/8 ,1800,1.07355
Bach,2.84136,2.97056,48.111,2/4 ,1770,2.00272
Bach,2.53832,2.92353,39.2157,12/8 ,1717,1.32231
Beethoven,2.05423,3.10222,0,3/8 ,1800,0
Beethoven,2.61139,3.0973,43.1373,3/4 ,1800,0.831474
Beethoven,2.54544,2.69435,28.7478,3/4 ,1800,1.42634
Beethoven,2.34329,2.8536,20.4762,2/4 ,1800,1.1783
Beethoven,3.0056,2.82787,33.3333,2/4 ,1800,0.249882
Beethoven,2.77424,2.90005,39.707,3/4 ,1801,1.64022
Beethoven,2.54453,2.58426,44.8352,4/4 ,1801,1.39958
Beethoven,2.93983,2.46337,67.2028,4/4 ,1801,2.19969
Beethoven,2.4116,2.68642,65.0675,3/8 ,1801,2.14052
Beethoven,2.85988,2.94168,39.7494,3/8 ,1801,2.08758
Bach,2.86576,2.99917,11.8841,3/4 ,1717,0.721928
Beethoven,3.04163,2.8152,93.9048,3/8 ,1801,2.22807
Beethoven,3.04248,2.79248,24.5614,3/8 ,1801,0.747585
Beethoven,2.93255,2.81424,15.3846,3/8 ,1801,0.991076
Beethoven,2.66175,2.7018,15.7895,3/4 ,1801,0.468996
Beethoven,2.24386,2.61366,45.9184,3/4 ,1801,1.26077
Beethoven,3.42367,2.88505,35.155,2/2 ,1801,1.39787
Beethoven,2.49946,2.31574,31.1111,2/2 ,1801,0.868393
Beethoven,,,86.6402,2/2 ,1801,2.46625
Beethoven,2.59179,2.3004,52.9101,3/4 ,1803,1.43537
Beethoven,2.70523,2.88551,68.8889,3/4 ,1803,1.57662
Bach,2.33306,3.1227,15.1515,3/4 ,1708,0.987693
Beethoven,2.16222,2.69866,40,3/4 ,1803,1.45915
Beethoven,2.48846,2.87603,40.5797,3/4 ,1803,0.979869
Beethoven,2.53217,2.685,14.8148,3/4 ,1803,0.548954
Beethoven,2.18155,2.92585,15.8974,3/4 ,1803,1.09491
Beethoven,2.76765,2.78875,88.7175,2/4 ,1803,1.99108
Beethoven,2.60056,3.03832,60.313,2/4 ,1803,1.97628
Beethoven,2.61058,2.89629,33.929,2/4 ,1803,1.61719
Beethoven,2.04879,2.57782,42.4242,2/4 ,1803,1.5511
